Carnegie	Carnegie	np1	Carnegie	Carnegie	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Couts	Couts	np1	Couts	Couts	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Duff	Duff	np1	Duff	Duff	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Falconar	Falconar	np1	Falconar	Falconar	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Laing	Laing	np1	Laing	Laing	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Maitland	Maitland	np1	Maitland	Maitland	0
,	,	,	,	,	0
Ioannes	Ioannes	np1	Ioannes	Johannes	0
Ross	Ross	np1	Ross	Ross	0
,	,	,	,	,	0
Isaac	Isaac	np1	Isaac	Isaac	0
Fullarton	Fullarton	np1	Fullarton	Fullarton	0
,	,	,	,	,	0
Patricius	Patricius	np1	Patricius	Patricius	0
Gordon	Gordon	np1	Gordon	Gordon	0
,	,	,	,	,	0
Patricius	Patricius	np1	Patricius	Patricius	0
Straquhan	Straquhan	np1	Straquhan	Straquhan	0
,	,	,	,	,	0
Patricius	Patricius	np1	Patricius	Patricius	0
Jameson	Jameson	np1	Jameson	Jameson	0
,	,	,	,	,	0
Robertus	Robertus	np1	Robertus	Robertus	0
Arbuthnott	Arbuthnott	np1	Arbuthnott	Arbuthnott	0
,	,	,	,	,	0
Robertus	Robertus	np1	Robertus	Robertus	0
Jameson	Jameson	np1	Jameson	Jameson	0
,	,	,	,	,	0
Robertus	Robertus	np1	Robertus	Robertus	0
Forbes	Forbes	np1	Forbes	Forbes	0
,	,	,	,	,	0
F.	F.	np1	F.	F.	0
D.	D.	np1	D.	D.	0
de	de	fw-fr	de	de	0
M.	M.	n1	M.	m.	0
Robertus	Robertus	np1	Robertus	Robertus	0
Leslie	Leslie	np1	Leslie	Leslie	0
,	,	,	,	,	0
Robertus	Robertus	np1	Robertus	Robertus	0
Rose	Rose	vvd	Rose	rise	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Burnet	Burnet	np1	Burnet	Burnet	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Chatfeild	Chatfeild	np1	Chatfeild	Chatfeild	0
Angliae	Angliae	fw-la	Angliae	angliae	0
.	.	.	.	.	1
