id,bipartite,displayname,category
140887,person,Hadrian Dammane Lord Bisterveldt,L
140890,person,Bullion,L
132709,person,Charles Dormer,L
108142,person,Zerobabel,R
116339,person,Eylands,L
124552,person,John Worthington,L
116372,person,Tertuli,H
108191,person,Barter,L
100001,person,,U
124580,person,Brounrigs,L
108202,person,Sonus Buccinae,U
124588,person,Thomas Barlow,L
116398,person,Shunem,R
108220,person,Gibea,R
132805,person,Bushnel,L
100047,person,Antigonus,H
124629,person,Porcia,H
116440,person,Ilienses,H
132824,person,Mahomet,R
124638,person,Hierostratus,H
108260,person,Beda,U
100070,person,Hannah Cope,L
132839,person,Ind,L
108279,person,Pouslin,L
100090,person,Machaon,F
116477,person,Calamy,L
132875,person,Bishop Of Rome,L
108311,person,Duchess Of Aubemarle,L
100120,person,Wharton,L
108318,person,Earl Of Hertford Baron Seymour Andrew Beauchamp,L
100127,person,Constantius,H
141098,person,Will Somner,L
124716,person,Elizabeth Capell Dowager,L
100143,person,Ishbosheth,R
100170,person,John Faireclough,L
116555,person,Homer,H
132947,person,James Shirley,L
100180,person,Dives,R
116570,person,Weredale,L
108378,person,Lord Lovelace,L
141150,person,Taile,L
124767,person,Ormond,L
108383,person,God●…,R
124771,person,Ignatius,H
132964,person,Arian Emperor,H
100197,person,Summary Description,U
108390,person,Manvers,L
116583,person,Prophet David,R
100199,person,Hezekiah,R
124778,person,Free,L
132971,person,Homer Nepenthes,H
108397,person,Hag,L
100205,person,William Jackson,L
108406,person,Bishop Babington,L
116605,person,Level,U
141187,person,Sir Edward,L
100240,person,Kedar,R
108432,person,Joshua,R
108435,person,Dean Of Gilled,L
124823,person,Edom,R
100251,person,Athenasius,H
100253,person,Georgius Swinnocke,L
108461,person,Altaschith,R
116653,person,Charles Cotton,L
108470,person,Venerable,L
141244,person,Tully,H
124868,person,St Clerk,L
133066,person,William Walwyn,L
133072,person,William Helyar,L
100307,person,Anthony Sadler,L
108500,person,Henry Newcome,L
116693,person,Henry Jeanes,L
124886,person,Marius,H
124890,person,Uzziah,R
124892,person,Lyme Regis,L
108510,person,W Walwyn,L
116703,person,Bees,L
108517,person,Evagrius,H
124902,person,Lidea,H
133100,person,Paulinus Bishop,L
108526,person,James Earl Of Northampton,L
124911,person,Kison,R
133103,person,William Secker,L
108530,person,George,L
100354,person,Euphrates,R
100357,person,Anastasius,H
116748,person,Andrews,L
116752,person,Compton Paines-Ford,L
100372,person,Origen,L
141344,person,John Gorges,L
124961,person,Oreb,R
116770,person,Osiris,F
124965,person,Edward Barkham,L
124966,person,Laberius,H
124972,person,Baal,R
124979,person,Jezabell,R
108610,person,St Paul,H
133188,person,Moses,R
116807,person,Nidabah,R
108615,person,Factionist,L
116814,person,Church,L
116823,person,Castle-Ashby,L
125019,person,Henry Jeanrs,L
125020,person,Protogenes,H
125026,person,Democritus Pseudomantis,H
100453,person,Caefar,H
133230,person,Robert Stapylton,L
133232,person,Phoebe,R
125042,person,Uni●… Kingdoms,L
141433,person,John Milton,L
125065,person,Prebend,L
141457,person,Selden,L
108692,person,Assyria,R
141461,person,Diego Teves,L
141463,person,W C,L
125082,person,Means,U
125093,person,Samuel,R
108711,person,Tyrannus,H
108713,person,St Basil,H
100527,person,Papa,L
133306,person,John Wynell,L
141500,person,Edward Marquis,L
133316,person,Gilbert Grace,L
100562,person,Andrew Barker,L
100575,person,John Dauncy,L
116968,person,George Monck,L
108778,person,Thomas Washbourn,L
108791,person,Kirkby,L
116997,person,Jehovah Shammah,R
133382,person,Hippocrates,H
100620,person,Charles Steynings,L
133389,person,King Richard,L
117013,person,M Jeanes,L
108821,person,Palmerin Of England,L
117016,person,George Starkey,L
100640,person,Robert May,L
117031,person,Critias,H
133417,person,Prince Will,L
125227,person,Ald Anthony Bateman Col,L
125229,person,Nero,H
125232,person,Cyneas,H
100672,person,Rabbi,L
108864,person,Mars,F
108870,person,Aeneas,F
125267,person,Bold,U
141657,person,Thesaurer,L
100704,person,Epicurus,H
117090,person,Cardinal Bellarm,L
133483,person,Kid,L
133493,person,John Earl Of Lauder Daill,L
141694,person,John Bewick,L
117124,person,Theseus,F
108936,person,Celsus,H
141705,person,J Gauden,L
141714,person,H Hammond,L
117141,person,Ri Henchman,L
125338,person,Bevis Of,L
117155,person,Salmasius,L
108966,person,Benjamin,L
117168,person,Bishop Andrews Bishop Morton,L
141750,person,Hebron,R
108982,person,Wonarinus,U
125386,person,Go●S,R
109003,person,Featley,L
141774,person,Celsus Performance,H
125390,person,Job,R
117201,person,Pseudoapostoli,R
117204,person,Zachariah,R
141787,person,Samuel Cradock,L
141791,person,Endor,R
109028,person,Ambrose,H
117234,person,Hosannah,R
109052,person,Erasmus,H
109070,person,Hanna,R
117265,person,Orbis,U
109078,person,Bellarmine,L
125465,person,Pentateuch,R
117291,person,Zedekiah,R
100912,person,Thomas Bushel,L
141874,person,Solomon,R
125492,person,Absolom,R
141887,person,Jeremiah,R
117312,person,Mordecai,R
125505,person,Richard Baxter,L
133707,person,Brian,L
133724,person,Howell,L
133729,person,Argligenis,U
117349,person,Almighty,R
125545,person,Daniel,R
109161,person,Swana,U
117356,person,Manuel,L
117358,person,Asaph,R
109170,person,Anthony Ashly-Cooper,L
125570,person,John Wickliffs,L
125574,person,Scorpio,F
133766,person,John Dancer,L
125581,person,Monarch Charles Ii,L
101023,person,Aydan,H
125612,person,Earl Of Glamorgan,L
117426,person,Winniffe,L
101046,person,Edward Smith,L
109244,person,Elisha,R
133821,person,Rathven,L
133820,person,Thomas Mortonius,L
101052,person,Ariosto,H
133829,person,Martial,H
117448,person,Cristiana,L
109266,person,Emmanuel,R
142036,person,Peter Heylyn,L
101079,person,Avicen,H
109274,person,Of His,U
101105,person,James Buck,L
117491,person,Excester,L
125685,person,Williams,L
125688,person,Wyvel,L
